City, X, Y
1, 70, 41
2, 92, 36
3, 85, 33
4, 69, 78
5, 83, 21
6, 90, 58
7, 23, 23
8, 37, 45
9, 74, 98
10, 77, 29
11, 10, 71
12, 98, 26
13, 69, 80
14, 51, 47
15, 96, 57
16, 22, 73
17, 47, 92
18, 68, 1
19, 51, 97
20, 13, 37
21, 54, 65
22, 52, 65
23, 4, 24
24, 56, 5
25, 37, 33
26, 96, 59
27, 70, 93
28, 78, 94
29, 58, 88
30, 77, 16
31, 75, 93
32, 86, 64
33, 55, 3
34, 93, 27
35, 14, 12
36, 62, 13
37, 39, 40
38, 76, 4
39, 22, 71
40, 33, 49
41, 28, 98
42, 53, 51
43, 48, 43
44, 14, 41
45, 46, 83
46, 61, 14
47, 56, 77
48, 37, 17
49, 9, 52
50, 57, 71
51, 91, 8
52, 35, 67
53, 85, 18
54, 90, 94
55, 7, 74
56, 62, 62
57, 35, 55
58, 96, 87
59, 57, 30
60, 6, 73
61, 47, 99
62, 56, 15
63, 69, 43
64, 30, 45
65, 88, 17
66, 49, 34
67, 88, 65
68, 30, 22
69, 45, 26
70, 72, 66
71, 4, 36
72, 7, 26
73, 64, 15
74, 45, 71
75, 84, 0
76, 74, 71
77, 42, 58
78, 50, 87
79, 76, 63
80, 51, 79
81, 15, 72
82, 38, 99
83, 10, 4
84, 80, 100
85, 58, 38
86, 91, 55
87, 27, 0
88, 66, 13
89, 89, 72
90, 92, 95
91, 64, 48
92, 29, 79
93, 12, 92
94, 2, 82
95, 71, 15
96, 85, 53
97, 26, 23
98, 48, 35
99, 68, 60
100, 10, 89
101, 40, 80
102, 46, 57
103, 82, 31
104, 75, 54
105, 63, 59
106, 59, 0
107, 17, 57
108, 14, 74
109, 7, 23
110, 61, 21
111, 65, 36
112, 56, 89
113, 83, 99
114, 25, 75
115, 81, 94
116, 74, 91
117, 3, 62
118, 26, 90
119, 3, 33
120, 74, 49
121, 11, 86
122, 15, 70
123, 55, 15
124, 60, 35
125, 39, 46
126, 84, 43
127, 40, 60
128, 41, 38
129, 30, 20
130, 80, 24
131, 25, 43
132, 84, 5
133, 94, 28
134, 68, 40
135, 28, 23
136, 35, 42
137, 20, 30
138, 87, 13
139, 40, 64
140, 98, 14
141, 98, 67
142, 63, 49
143, 8, 44
144, 53, 43
145, 39, 59
146, 3, 27
147, 9, 12
148, 10, 69
149, 37, 24
150, 27, 17
151, 94, 40
152, 75, 70
153, 8, 25
154, 50, 78
155, 33, 34
156, 15, 92
157, 4, 3
158, 59, 58
159, 51, 70
160, 89, 5
161, 35, 5
162, 26, 39
163, 75, 0
164, 60, 60
165, 42, 59
166, 0, 90
167, 69, 2
168, 9, 55
169, 4, 75
170, 2, 61
171, 92, 57
172, 59, 75
173, 45, 94
174, 36, 97
175, 15, 46
176, 1, 69
177, 22, 77
178, 7, 88
179, 27, 75
180, 44, 54
181, 79, 50
182, 85, 22
183, 95, 97
184, 47, 87
185, 7, 94
186, 59, 19
187, 79, 36
188, 36, 71
189, 96, 39
190, 4, 21
191, 78, 7
192, 65, 45
193, 83, 44
194, 93, 30
195, 34, 59
196, 32, 19
197, 56, 27
198, 37, 50
199, 11, 98
200, 55, 33
201, 73, 14
202, 52, 75
203, 9, 91
204, 88, 38
205, 20, 81
206, 53, 88
207, 90, 2
208, 10, 34
209, 91, 13
210, 44, 90
211, 51, 32
212, 84, 85
213, 33, 60
214, 1, 56
215, 92, 5
216, 52, 28
217, 56, 20
218, 7, 2
219, 75, 44
220, 56, 5
221, 62, 52
222, 71, 56
